Community,NDVI,LST_Day,LST_Night,WRF_T2_min,WRF_TSK_max,WRF_TSK_min,WRF_TW2_max,WRF_TW2_min,WRF_WBGT_max,WRF_WBGT_min
CLEARING,0.2723466796385593,39.50676899922009,19.69818611866573,23.198418593724018,36.37173777650501,20.51893943644457,19.614492829330448,18.89466774558852,24.80208128579653,20.10943926935611
FULLER PARK,0.2831489663741326,36.9818006523841,20.024635194446816,22.5850158691406,34.5586791992188,20.0952545166016,19.02490234375,18.74365234375,23.8201208114624,20.0106468200684
LOGAN SQUARE,0.2799716078418433,38.48030612777287,20.53367730251424,22.73708808851537,34.710523806743765,20.277343617314852,19.02303422607991,18.651016503683504,24.14460264407332,19.937554618882817
HERMOSA,0.288381409572811,39.73217507929634,20.35870213663601,22.8345733642578,35.9826599121094,20.2070861816406,19.11572265625,18.6786136627197,24.3162183761597,19.9615669250488
NORTH LAWNDALE,0.336890880851404,37.81888016574382,20.24505215999769,22.992550388528,35.99419666482081,20.308598046329458,19.219494256893373,18.750867088413774,24.40421991574698,20.03423534491875
BELMONT CRAGIN,0.3128491329842338,40.0238396412835,20.166455075117973,22.88713810358656,35.994912998983814,20.228985593957777,19.14404541388696,18.68054433560281,24.38330266950882,19.958676937344315
ALBANY PARK,0.3537212238201521,36.80548039563019,19.75335944930355,22.76192374029664,35.91452184977066,20.14665767111484,19.017579959389952,18.621337569838374,24.252324017453528,19.917336855936416
HUMBOLDT PARK,0.2952622577442501,39.15788434104539,20.636596559582816,22.86108138638846,35.90445675828614,20.206957937701915,19.130496357989,18.686739118523708,24.300814275309506,19.97495719529901
GAGE PARK,0.296928619627393,39.35035342229524,19.419450507865896,23.23132132797436,36.17094113072883,20.50053273178928,19.483660231641775,18.920887406748783,24.669047549818995,20.1579839642679
LINCOLN PARK,0.2953024341769955,34.4430887166852,19.003723249117854,21.718276821261263,21.415525277410424,21.011598780755463,18.054354430262453,18.362600675178584,22.3510595663513,19.68660381745818
MORGAN PARK,0.5071865880373465,37.10550309017739,19.55291990041028,23.018948996198034,35.8059291430882,20.419904563191217,19.50401141715575,19.004601365589863,24.538700596316826,20.12388974297178
FOREST GLEN,0.5433930892166051,35.786359765695416,19.132459412663927,22.83719488869256,35.885730152398764,20.180297400246253,19.04601281159361,18.610170007759432,24.341115640586555,19.90341048207079
LAKE VIEW,0.2972425373244071,34.46477699421284,18.90245836228003,21.604712996944297,20.921959136634747,20.921959136634747,17.908048383651266,18.289731543551238,22.21819653049589,19.62883618057416
WASHINGTON HEIGHTS,0.4235132810047011,37.634574421133024,20.137444760163888,22.9254699707031,35.7493682861328,20.3733306884766,19.44970703125,18.9777345657349,24.483455657959,20.099142074585
EDISON PARK,0.4360864322344876,38.30528227122259,19.124380537352213,22.95963133533837,36.02882473942732,20.293024235945808,19.100430124823674,18.585079236420345,24.432584812614685,19.88645955267634
CALUMET HEIGHTS,0.3896008333034419,37.4344882337228,20.163312377065186,22.89197990271695,35.581828220634705,20.32616307932863,19.39425663067277,18.99022429460176,24.414718513124303,20.105370641210296
GARFIELD RIDGE,0.3010742210499004,38.4886911918916,19.647614229792545,23.21687083207261,36.3631480989684,20.5028263342537,19.54981908974589,18.88888669224856,24.759373512002227,20.113017083492405
GREATER GRAND CROSSING,0.3850671634244781,36.36447628474127,20.543740027133307,22.810275049938976,35.620725172694684,20.24509304818437,19.25222555919403,18.87263592630484,24.28216189359533,20.0751938169023
OHARE,0.3172603734222399,36.98782971250301,19.52536828963677,23.18178500168616,36.2320075682044,20.47375206352036,19.252354608245994,18.611620879607116,24.632866050003468,19.93643724503681
SOUTH CHICAGO,0.4394843202817963,34.21948692483922,19.2920925552578,22.81680774787209,34.88698839197475,20.306003285603374,19.295976294092387,19.000806216898155,24.26931348101405,20.10688634501471
